name,type,location,price,grade,note,chain
Divina Dolores,Bares/Tapeo,Montecarmelo,20,,,false
Santoria,Bares/Tapeo,Barrio de las Letras,20,,,false
Camerino,Bares/Tapeo,Príncipe de Vergara,30,,Cena y cocktails,false
Zafyro café club,Bares/Tapeo,,20,,,false
Manero,Bares/Tapeo,,20,,,false
Wanderlust,Bares/Tapeo,,20,,,false
Bar Herjomar,Bares/Tapeo,,20,,,false
Replay Outlet Cafe,Bares/Tapeo,,20,,Bar/restaurante de juegos,false
Solo de croquetas,Bares/Tapeo,,15,,,false
La más croqueta,Bares/Tapeo,,15,,,false
La Mentira,Bares/Tapeo,Chamberí,20,,Bingo los miércoles,false
Bar Malos,Bares/Tapeo,,15,,,false
El Sitio,Bares/Tapeo,,20,,,false
Marta Cariño,Bares/Tapeo,Callao,25,,Copeo,false
La Manuela,Bares/Tapeo,,20,,Con juegos de mesa,false
El Viajero,Bares/Tapeo,La Latina,30,,,false
Sala de Despiece,Bares/Tapeo,Ponzano,30,,,false
La Bocateria,Bares/Tapeo,Calle Fernando VI,15,,,false
Baby Bull,Bares/Tapeo,,25,,Copas,false
Salmon Guru,Bares/Tapeo,Barrio de las Letras,30,,Cocktails,false
Blue Moon,Bares/Tapeo,,25,,,false
Amargo a place to be,Bares/Tapeo,,25,,,false
Ramses,Bares/Tapeo,,40,,Copeo - Premium,false
THE HAT,Bares/Tapeo,La Latina,25,,Azotea,false
Lateral,Bares/Tapeo,,25,,,true
Shaka!,Bares/Tapeo,,15,,Crepes,false
Guasa,Bares/Tapeo,,20,,,false
Ritasibarita,Bares/Tapeo,Montecarmelo,20,8,,false
Volapie,Bares/Tapeo,,15,7,,true
Cherry Pecas,Bares/Tapeo,Chamberí,20,8.5,,false
Barra,Bares/Tapeo,,20,8,,false
El Kiosko,Bares/Tapeo,,20,8.5,,true
Bel Mondo,Italiano,Salamanca,40,,Premium,false
Popolare,Italiano,Azca,25,,,false
Isabella,Italiano,,25,,,false
L'Antica Trattoria,Italiano,,25,,,false
Bosco de Lobos,Italiano,,25,,,false
My Pasta Room,Italiano,,10,,10-14€,false
Malafemma,Italiano,,25,,22-25€,false
Trattoria Pulcinella,Italiano,,20,,15-24€,false
Numa Pompilio,Italiano,,35,,Premium,false
Ornella,Italiano,,25,,22-25€,false
Pummarola,Italiano,,15,,13-20€,false
Aió,Italiano,,20,,,false
Letteria Trattoria,Italiano,,20,,,false
Filippo,Italiano,,20,,Pizza,false
La Pizza è Bella,Italiano,,10,,Pasta carbonara,false
Fratelli d'Italia,Italiano,,10,,,false
Mama Chicó,Italiano,,20,,18-20€,false
Pastaio,Italiano,,15,,11-15€,false
Chicago Style,Italiano,,15,,Pizzeria,false
400º Pizza,Italiano,,15,,,false
Misteri O1,Italiano,,10,,,false
Bulla,Italiano,,20,,16-20€,false
Villa Capri,Italiano,Salesas,20,,,false
La Pizzería,Italiano,,15,,,false
Pizzart,Italiano,,15,,12-15€,false
Toto e Pepino,Italiano,,20,,,false
Bizzo!,Italiano,,15,,,false
Mena Pulían Food,Italiano,,10,,Italian street food,false
Ravioluzione,Italiano,Tetuán,15,9,13-15€,false
Ginos,Italiano,,15,9,,true
Grosso Napoletano,Italiano,,15,8,,true
Tagliatella,Italiano,,20,8.5,,true
Fellina,Italiano,Chamberí,25,9,,false
Oven,Italiano,,20,9,,true
Frida Frijol,Mexicano,,20,,,false
Takomamma,Mexicano,,15,,,false
Pepe Taco,Mexicano,,15,,,false
La Venganza de Malinche,Mexicano,,20,,,false
El Chaparrito,Mexicano,,15,,,false
Tako Away,Mexicano,,10,,,false
Nacho Bravo,Mexicano,,15,,,false
Ole Mole,Mexicano,,20,,,false
Delic,Mexicano,,20,,,false
Cascabel,Mexicano,,20,,,false
Si Señor,Mexicano,,15,,,false
The Mex,Mexicano,,15,,,false
La Hermosillo,Mexicano,,20,,Tapeo mexicano,false
Pico de Gallo,Mexicano,,15,,,false
Santita Cabron,Mexicano,,20,,,false
Julieta Lemon,Mexicano,,20,,,false
Tepic,Mexicano,,25,,,false
Chirrion,Mexicano,,20,,,false
Brutal Burrito,Mexicano,,10,,,false
La Tía Juana,Mexicano,,20,,,false
Gracias Padre,Mexicano,Salamanca,25,9,,false
La Mordida,Mexicano,,20,8,,true
Tierra Burrito,Mexicano,,10,8,,true
Tiki Taco,Mexicano,,15,8,,false
Porneat Burger,Hamburguesas/Americana,,15,,,false
Muerdo Burger,Hamburguesas/Americana,,15,,,false
Frankie Burger,Hamburguesas/Americana,,15,,,false
El Círculo de Carlos Maldonado,Hamburguesas/Americana,,20,,,false
HotNow,Hamburguesas/Americana,,15,,Pizzas,false
Galipán,Hamburguesas/Americana,,10,,Hotdogs,false
Bendita Burger,Hamburguesas/Americana,,15,,14-16€,false
Graal,Hamburguesas/Americana,,15,,13-15€,false
La 5ª con Madison,Hamburguesas/Americana,,15,,,false
Steak Burger Bar,Hamburguesas/Americana,,15,,12-15€,true
Home Burger Bar,Hamburguesas/Americana,,15,,,false
Paperboy Hotdog,Hamburguesas/Americana,,10,,7-9€,false
Donoso,Hamburguesas/Americana,,10,,5€,false
La Prensa,Hamburguesas/Americana,,10,,,false
Juancho's,Hamburguesas/Americana,,15,,14-15€,false
Burmet,Hamburguesas/Americana,,15,,Nachos,false
Alfredo's Barbacoa,Hamburguesas/Americana,,15,,12-15€,true
Tennessee BBQ,Hamburguesas/Americana,,15,,12-15€,false
