name,type,location,price,grade,note
Divina Dolores,Bares/Tapeo,,20,,
Santoria,Bares/Tapeo,,20,,
Camerino,Bares/Tapeo,,30,,Cena y cocktails
Zafyro café club,Bares/Tapeo,,20,,
Manero,Bares/Tapeo,,20,,
Wanderlust,Bares/Tapeo,,20,,
Bar Herjomar,Bares/Tapeo,,20,,
Replay Outlet Cafe,Bares/Tapeo,,20,,Bar/restaurante de juegos
Solo de croquetas,Bares/Tapeo,,15,,
La más croqueta,Bares/Tapeo,,15,,
La Mentira,Bares/Tapeo,,20,,Bingo los miércoles
Bar Malos,Bares/Tapeo,,15,,
El Sitio,Bares/Tapeo,,20,,
Marta Cariño,Bares/Tapeo,,25,,Copeo
La Manuela,Bares/Tapeo,,20,,Con juegos de mesa
El Viajero,Bares/Tapeo,,30,,
Sala de Despiece,Bares/Tapeo,,30,,
La Bocateria,Bares/Tapeo,Calle Fernando VI,15,,
Baby Bull,Bares/Tapeo,,25,,Copas
Salmon Guru,Bares/Tapeo,,30,,Cocktails
Blue Moon,Bares/Tapeo,,25,,
Amargo a place to be,Bares/Tapeo,,25,,
Ramses,Bares/Tapeo,,40,,Copeo - Premium
THE HAT,Bares/Tapeo,,25,,Azotea
Lateral,Bares/Tapeo,,25,,
Shaka!,Bares/Tapeo,,15,,Crepes
Guasa,Bares/Tapeo,,20,,
Ritasibarita,Bares/Tapeo,,20,8,
Volapie,Bares/Tapeo,,15,7,
Cherry Pecas,Bares/Tapeo,,20,8.5,
Barra,Bares/Tapeo,,20,8,
El Kiosko,Bares/Tapeo,,20,8.5,
Bel Mondo,Italiano,,40,,Premium
Popolare,Italiano,,25,,
Isabella,Italiano,,25,,
L'Antica Trattoria,Italiano,,25,,
Bosco de Lobos,Italiano,,25,,
My Pasta Room,Italiano,,10,,10-14€
Malafemma,Italiano,,25,,22-25€
Trattoria Pulcinella,Italiano,,20,,15-24€
Numa Pompilio,Italiano,,35,,Premium
Ornella,Italiano,,25,,22-25€
Pummarola,Italiano,,15,,13-20€
Aió,Italiano,,20,,
Letteria Trattoria,Italiano,,20,,
Filippo,Italiano,,20,,Pizza
La Pizza è Bella,Italiano,,10,,Pasta carbonara
Fratelli d'Italia,Italiano,,10,,
Mama Chicó,Italiano,,20,,18-20€
Pastaio,Italiano,,15,,11-15€
Chicago Style,Italiano,,15,,Pizzeria
400º Pizza,Italiano,,15,,
Misteri O1,Italiano,,10,,
Bulla,Italiano,,20,,16-20€
Villa Capri,Italiano,,20,,
La Pizzería,Italiano,,15,,
Pizzart,Italiano,,15,,12-15€
Toto e Pepino,Italiano,,20,,
Bizzo!,Italiano,,15,,
Mena Pulían Food,Italiano,,10,,Italian street food
Ravioluzione,Italiano,,15,9,13-15€
Ginos,Italiano,,15,9,
Grosso Napoletano,Italiano,,15,8,
Tagliatella,Italiano,,20,8.5,
Fellina,Italiano,,25,9,
Oven,Italiano,,20,9,
Frida Frijol,Mexicano,,20,,
Takomamma,Mexicano,,15,,
Pepe Taco,Mexicano,,15,,
La Venganza de Malinche,Mexicano,,20,,
El Chaparrito,Mexicano,,15,,
Tako Away,Mexicano,,10,,
Nacho Bravo,Mexicano,,15,,
Ole Mole,Mexicano,,20,,
Delic,Mexicano,,20,,
Cascabel,Mexicano,,20,,
Si Señor,Mexicano,,15,,
The Mex,Mexicano,,15,,
La Hermosillo,Mexicano,,20,,Tapeo mexicano
Pico de Gallo,Mexicano,,15,,
Santita Cabron,Mexicano,,20,,
Julieta Lemon,Mexicano,,20,,
Tepic,Mexicano,,25,,
Chirrion,Mexicano,,20,,
Brutal Burrito,Mexicano,,10,,
La Tía Juana,Mexicano,,20,,
Gracias Padre,Mexicano,,25,9,
La Mordida,Mexicano,,20,8,
Tierra Burrito,Mexicano,,10,8,
Tiki Taco,Mexicano,,15,8,
Porneat Burger,Hamburguesas/Americana,,15,,
Muerdo Burger,Hamburguesas/Americana,,15,,
Frankie Burger,Hamburguesas/Americana,,15,,
El Círculo de Carlos Maldonado,Hamburguesas/Americana,,20,,
HotNow,Hamburguesas/Americana,,15,,Pizzas
Galipán,Hamburguesas/Americana,,10,,Hotdogs
Bendita Burger,Hamburguesas/Americana,,15,,14-16€
Graal,Hamburguesas/Americana,,15,,13-15€
La 5ª con Madison,Hamburguesas/Americana,,15,,
Steak Burger Bar,Hamburguesas/Americana,,15,,12-15€
Home Burger Bar,Hamburguesas/Americana,,15,,
Paperboy Hotdog,Hamburguesas/Americana,,10,,7-9€
Donoso,Hamburguesas/Americana,,10,,5€
La Prensa,Hamburguesas/Americana,,10,,
Juancho's,Hamburguesas/Americana,,15,,14-15€
Burmet,Hamburguesas/Americana,,15,,Nachos
Alfredo's Barbacoa,Hamburguesas/Americana,,15,,12-15€
Tennessee BBQ,Hamburguesas/Americana,,15,,12-15€
MEAT,Hamburguesas/Americana,,15,,12-14€
Jimbo Smokehouse,Hamburguesas/Americana,,15,,12-15€
Clandestino Burger,Hamburguesas/Americana,,15,,
La H es Muda,Hamburguesas/Americana,,15,,13-15€
La Bistroteca,Hamburguesas/Americana,,20,,18-20€
Bentley's Burger,Hamburguesas/Americana,,20,,14-20€
CRÖMIA,Hamburguesas/Americana,,15,,
Burnout,Hamburguesas/Americana,,10,,10-13€
The Irish Rover,Hamburguesas/Americana,,15,,11-15€
Jolliebee,Hamburguesas/Americana,,10,,Pollo
Big Papa,Hamburguesas/Americana,,10,,Patatas fritas
Bunji,Hamburguesas/Americana,,15,,
Leña by Dani García,Hamburguesas/Americana,,50,,Premium
Knight n' Squire,Hamburguesas/Americana,,20,,Primera hamburgueseria
Rancho de Santa Africa,Hamburguesas/Americana,,15,,
Mad Cafe,Hamburguesas/Americana,,15,,
Alright,Hamburguesas/Americana,,15,,
Berty's,Hamburguesas/Americana,,15,,
VICIO,Hamburguesas/Americana,,20,9.5,17.8€
Toro Burger,Hamburguesas/Americana,,15,9,12-14€
The Fitzgerald,Hamburguesas/Americana,,10,9.5,11€
Junk Burger,Hamburguesas/Americana,,10,8.5,7-12€
Five Guys,Hamburguesas/Americana,,15,8.5,
Johnny Rockets,Hamburguesas/Americana,,15,9,
New York Burger,Hamburguesas/Americana,,20,9.5,
Goiko Grill,Hamburguesas/Americana,,15,9,
Pic&Nic,Hamburguesas/Americana,,15,8.5,
Taxi a Manhattan,Hamburguesas/Americana,,15,7.5,
Friday's,Hamburguesas/Americana,,20,9,
The Cachopu Factory,Española/Mediterránea,,10,,7€
D. Origen,Española/Mediterránea,C/Gaztambide 62,20,,
Urumea,Española/Mediterránea,,20,,Cachopo
Nimú,Española/Mediterránea,,25,,
Niquel,Española/Mediterránea,,25,,
En la Charca Taberna,Española/Mediterránea,,20,,Cachopo
La Fondue de Tell,Española/Mediterránea,,30,,Fondue
Cafe Melos,Española/Mediterránea,,15,,
Salitre,Española/Mediterránea,,20,,
Papúa,Española/Mediterránea,,25,,
Marconi,Española/Mediterránea,,25,,
Tanteo,Española/Mediterránea,,25,,
Café Santander,Española/Mediterránea,,20,,Tortilla y tarta de queso
Casa Carola,Española/Mediterránea,,25,,
La Penela Velázquez,Española/Mediterránea,,20,,Tortilla y carne asada (OCAFU)
Bocanegra,Española/Mediterránea,,25,,
El Pontón,Española/Mediterránea,,15,,Tortilla
Bodega la Ardosa,Española/Mediterránea,,15,,Tortilla
La Primera,Española/Mediterránea,,20,,
Rosi la Loca,Española/Mediterránea,,20,,
Viridiana,Española/Mediterránea,,40,,
La Madreña,Española/Mediterránea,,25,,
Pez Tortilla,Española/Mediterránea,,15,,
Casa Dani,Española/Mediterránea,,15,,Tortilla de patata
Los Huevos de Lucio,Española/Mediterránea,,25,,
La Bienquerida,Española/Mediterránea,,20,,
El Jefe Traveling Food,Española/Mediterránea,,15,,
Cuatro de Ocho,Española/Mediterránea,,30,,
Makkila,Española/Mediterránea,,30,,
Hakuna Patata,Española/Mediterránea,,10,,Domicilio
Perretxico,Española/Mediterránea,,20,,
Tal Cual,Española/Mediterránea,,20,,
Camino,Española/Mediterránea,,20,,
Santerra,Española/Mediterránea,,20,,Croquetas
Zalamero,Española/Mediterránea,,15,,Croquetas
Casa Mortero,Española/Mediterránea,,15,,Croquetas
Colósimo,Española/Mediterránea,,20,,Croquetas
Sylkar,Española/Mediterránea,,15,,Tortilla
Diurno,Española/Mediterránea,,25,,
Marte,Española/Mediterránea,,25,,
La Pepa,Española/Mediterránea,,15,,Tortilla
Cañadío,Española/Mediterránea,,25,,Tortilla
Los Ochoa,Española/Mediterránea,,20,,
El Columpio,Española/Mediterránea,,25,,
Morgana,Española/Mediterránea,,25,,
El Bareto,Española/Mediterránea,,20,,
Jaleito,Española/Mediterránea,,20,,
Maracca,Española/Mediterránea,,20,,
La Valentina,Española/Mediterránea,,20,,
La Redonda,Española/Mediterránea,Pozuelo,25,,
Couzapín,Española/Mediterránea,,25,10,Asturiano - Cachopo
Perrachica,Española/Mediterránea,,25,8,
Habanera,Española/Mediterránea,,30,8.5,
Txirimiri,Española/Mediterránea,,20,9,Tortilla
La Maruca,Española/Mediterránea,,25,10,
La Bientirada,Española/Mediterránea,,20,9,
OCAFÚ,Española/Mediterránea,,25,10,
Saona,Española/Mediterránea,,20,9.5,
El Pimiento Verde,Española/Mediterránea,,25,8.5,
Lobito de Mar,Española/Mediterránea,,40,8.5,Premium
Roostiq,Española/Mediterránea,,35,10,Premium
Tandoori Station,Indio,,15,,
SAGAR,Indio,,15,,
Mughul,Indio,,20,,
Curry Masala,Indio,,15,,
Purnima,Indio,,15,,
Anapurna,Indio,,20,,
Dolí,Indio,,15,,
Taj Mahal,Indio,Plaza de España,20,8,
Igo Ramen,Asiático,,15,,
Ra-men Kagura,Asiático,,15,,
Ramen Shifu,Asiático,,15,,
BiangBiang Bar,Asiático,,15,,
Lou's Hotpot,Asiático,,25,,
Gyoza Go,Asiático,,15,,
Bao,Asiático,,15,,
Torikey,Asiático,,20,,
Zen Market,Asiático,,15,,
Maki,Asiático,,20,,
Miss Sushi,Asiático,,20,,
Tuktuk,Asiático,,20,,
Gayagum,Asiático,,20,,Comida coreana
Casa Bulgogi,Asiático,,20,,Comida coreana
Thai Orchid,Asiático,,25,,Comida thai
Krachai Cuisine,Asiático,,25,,Comida thai
Macao,Asiático,,25,,Fusión
Running Sushi,Asiático,,20,,
Sushi Shop,Asiático,,25,,
Konnichiwa,Asiático,,20,,
La Monarracha,Asiático,,20,,
Sushiwakka,Asiático,,30,,
Maitake,Asiático,,25,,
Art & Sushi,Asiático,,25,,
Hong Kong,Asiático,,15,,
Don Lay,Asiático,,15,,
Yatai Market,Asiático,,20,,
